title;fen;gif;link
Restriction;8/8/3K4/8/4Q3/8/6pp/7k b - - 1 1;OC84LzNLNC84LzgvNVEyLzZwcC83ay;https://www.chess.com/analysis?fen=8/8/3K4/8/8/5Q2/6pp/7k%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/8/3K4/8/8/5Q2/6pp/7k%20w%20-%20-%200%201%22%5D%0A%0A1.%20Qe4%20Kg1%202.%20Qe1%23%201-0
Contemplating the Captures;2r2r2/5pkp/bp1qp1p1/p1Pp4/Pn6/1PQ2N1P/2P1BPP1/4RRK1 b - - 0 1;MnIycjIvNXBrcC9icDFxcDFwMS9wMX;https://www.chess.com/analysis?fen=2r2r2/5pkp/bp1qp1p1/p1pp4/Pn1P4/1PQ2N1P/2P1BPP1/4RRK1%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%222r2r2/5pkp/bp1qp1p1/p1pp4/Pn1P4/1PQ2N1P/2P1BPP1/4RRK1%20w%20-%20-%200%201%22%5D%0A%0A1.%20dxc5%2B%20Kg8%202.%20Qxb4%20axb4%203.%20cxd6%20*
Rook Lifting Your Spirits;3r2k1/5p1p/6p1/8/2B5/2b4P/b1P2PP1/1R1R2K1 b - - 0 1;M3IyazEvNXAxcC82cDEvOC8ybjUvMm;https://www.chess.com/analysis?fen=3r2k1/5p1p/6p1/8/2n5/2bB3P/b1P2PP1/1R1R2K1%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%223r2k1/5p1p/6p1/8/2n5/2bB3P/b1P2PP1/1R1R2K1%20w%20-%20-%200%201%22%5D%0A%0A1.%20Bxc4%20Rxd1%2B%202.%20Rxd1%20Bxc4%203.%20Rd8%2B%20Kg7%204.%20Rc8%20Be6%205.%20Rxc3%20*
Maroczy's Candles;r4bkr/ppp3pp/2n1Rq2/6N1/2pp2P1/8/PPP2P1P/R1BQ2K1 b - - 0 15;cjRia3IvcHBwM3BwLzJuMWJxMi82TjE;https://www.chess.com/analysis?fen=r4bkr/ppp3pp/2n1bq2/6N1/2pp2P1/8/PPP2P1P/R1BQR1K1%20w%20-%20-%200%2015&flip=false&pgn=%5BEvent%20%22Ljubljana%22%5D%0A%5BSite%20%22Ljubljana%20YUG%22%5D%0A%5BDate%20%221922.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Geza%20Maroczy%22%5D%0A%5BBlack%20%22Milan%20Vidmar%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22r4bkr/ppp3pp/2n1bq2/6N1/2pp2P1/8/PPP2P1P/R1BQR1K1%20w%20-%20-%200%2015%22%5D%0A%5BECO%20%22C55%22%5D%0A%5BPlyCount%20%2233%22%5D%0A%0A15.%20Rxe6%20Qd8%2016.%20Qf3%20Qd7%2017.%20Re7%201-0
The Great Dane;1RQ5/5pk1/6p1/P1p4p/2P2P2/6rP/4q2K/8 w - - 4 47;MVJRNS81cGsxLzZwMS9QMXA0cC8y;https://www.chess.com/analysis?fen=1RQ5/5pk1/6p1/P1p4p/2P2P2/3q2rP/7K/8%20b%20-%20-%203%2046&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22Argentina%22%5D%0A%5BDate%20%221986.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Behrensen%20Jorge%20%28ARG%29%22%5D%0A%5BBlack%20%22Larsen%20Bent%20%28DEN%29%22%5D%0A%5BResult%20%220-1%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%221RQ5/5pk1/6p1/P1p4p/2P2P2/3q2rP/7K/8%20b%20-%20-%203%2046%22%5D%0A%5BWhiteElo%20%222325%22%5D%0A%5BBlackElo%20%222565%22%5D%0A%5BECO%20%22A46%22%5D%0A%0A46...%20Qe2%2B%2047.%20Kxg3%20h4%2B%2048.%20Kxh4%20Qf2%2B%2049.%20Kg4%20f5%2B%2050.%20Kg5%20Qg3%23%200-1
A Close Scheve;6r1/pp3p1k/4qBb1/3p4/2pP2P1/2P2R1r/P1PQ2R1/6K1 b - - 1 30;NnIxL3BwM3Axay80cUJiMS8zcDQvMn;https://www.chess.com/analysis?fen=6r1/pp3p1k/4qBb1/3p4/2pP2P1/2P4r/P1PQ2R1/5RK1%20w%20-%20-%200%2030&flip=false&pgn=%5BEvent%20%22Nuremberg%201883%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Siegbert%20Tarrasch%22%5D%0A%5BBlack%20%22Theodor%20von%20Scheve%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%226r1/pp3p1k/4qBb1/3p4/2pP2P1/2P4r/P1PQ2R1/5RK1%20w%20-%20-%200%2030%22%5D%0A%0A30.%20Rf3%20Rh6%2031.%20Qxh6%2B%20Kxh6%2032.%20Rh2%2B%20Bh5%2033.%20Rxh5%2B%20Kg6%2034.%20Rg5%2B%20Kh6%2035.%20Rh3%23%201-0
Navigating the Traffic Cohns;8/8/8/3p2k1/6q1/6R1/8/7K b - - 1 1;OC84LzgvM3AyazEvNnExLzNSNC84Lz;https://www.chess.com/analysis?fen=8/8/8/3p2k1/6q1/3R4/8/7K%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%221927%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22H.%20Cohn%22%5D%0A%5BBlack%20%22Study%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/8/8/3p2k1/6q1/3R4/8/7K%20w%20-%20-%200%201%22%5D%0A%0A1.%20Rg3%20d4%202.%20Kg2%20d3%203.%20Kf1%20*
Missed Opportunity;8/1p3p2/p2k2p1/8/2K2Pp1/r1P3P1/P2R3P/8 b - - 8 37;OC8xcDNwMi9wMmsycDEvOC81UHA;https://www.chess.com/analysis?fen=8/1p3p2/p2k2p1/8/5Pp1/r1PK2P1/P2R3P/8%20w%20-%20-%207%2037&flip=false&pgn=%5BEvent%20%22It%20%28open%29%22%5D%0A%5BSite%20%22Padova%20%28Italy%29%22%5D%0A%5BDate%20%221998.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Rikard%20Medancic%22%5D%0A%5BBlack%20%22Vlad%20Tomescu%22%5D%0A%5BResult%20%220-1%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/1p3p2/p2k2p1/8/5Pp1/r1PK2P1/P2R3P/8%20w%20-%20-%207%2037%22%5D%0A%0A37.%20Kc4%2B%20Kc6%2038.%20Kb4%20Rxc3%2039.%20Kxc3%200-1
Geller's Persuasion;2r3k1/1p1PQpp1/p3q3/P1p5/2P4P/4p3/6P1/4R2K b - - 0 34;MnIzazEvMXAyUXBwMS9wMlBxMy9;https://www.chess.com/analysis?fen=2r3k1/1p2Qpp1/p2Pq3/P1p5/2P4P/4p3/6P1/4R2K%20w%20-%20-%201%2034&flip=false&pgn=%5BEvent%20%22It%20%28cat.12%29%22%5D%0A%5BSite%20%22Hilversum%20%28Netherlands%29%22%5D%0A%5BDate%20%221973.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Geller%20Efim%20P%20%28RUS%29%22%5D%0A%5BBlack%20%22Ivkov%20Borislav%20%28SCG%29%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%222r3k1/1p2Qpp1/p2Pq3/P1p5/2P4P/4p3/6P1/4R2K%20w%20-%20-%201%2034%22%5D%0A%5BWhiteElo%20%222455%22%5D%0A%5BBlackElo%20%222520%22%5D%0A%0A34.%20d7%20Qxe7%2035.%20dxc8%3DQ%2B%201-0
Bobby's Memorable March;3q2k1/3P1pp1/1r6/1p2B1p1/2pQ2P1/3nR2P/1P3PK1/8 b - - 0 39;M3EyazEvNXBwMS8xcjFQNC8xcDJCM;https://www.chess.com/analysis?fen=3q2k1/5pp1/1r1P4/1p2B1p1/2pQ2P1/3nR2P/1P3PK1/8%20w%20-%20-%2014%2039&flip=false&pgn=%5BEvent%20%22It%22%5D%0A%5BSite%20%22Washington%20%28USA%29%22%5D%0A%5BDate%20%221956.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Fischer%20Robert%20J%20%28USA%29%22%5D%0A%5BBlack%20%22Di%20Camillo%20Antillo%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%223q2k1/5pp1/1r1P4/1p2B1p1/2pQ2P1/3nR2P/1P3PK1/8%20w%20-%20-%2014%2039%22%5D%0A%0A39.%20d7%20Rb7%2040.%20Bc7%20Rxc7%2041.%20Re8%2B%201-0
Battering Ram;6Qk/2R3p1/4pP1p/6r1/6P1/P7/1q5P/3R3K b - - 0 1;NnJrLzJSMlFwMS80cFAxcC82cjEvNlAx;https://www.chess.com/analysis?fen=6rk/2R2Qp1/4pP1p/6r1/6P1/P7/1q5P/3R3K%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%226rk/2R2Qp1/4pP1p/6r1/6P1/P7/1q5P/3R3K%20w%20-%20-%200%201%22%5D%0A%0A1.%20Qxg8%2B%20Kxg8%202.%20f7%2B%20Kh7%203.%20f8%3DQ%20*
Fier on Board;2r2bkR/1q1n1pp1/2b1r3/1p4N1/2p1P3/1p1P2P1/PB3PK1/Q1R5 b - - 1 27;MnIyYmsxLzFxMW4xcHAxLzJiMXIzLzF;https://www.chess.com/analysis?fen=2r2bk1/1q1n1pp1/2b1r3/1p4N1/2p1P3/1p1P2P1/PB3PK1/Q1R4R%20w%20-%20-%200%2027&flip=false&pgn=%5BEvent%20%22Chess%20Olympiad%22%5D%0A%5BSite%20%22Batumi%20GEO%22%5D%0A%5BDate%20%222018.09.25%22%5D%0A%5BRound%20%222.19%22%5D%0A%5BWhite%20%22Alexandr%20Hilario%20Takeda%20dos%20Santos%20Fier%22%5D%0A%5BBlack%20%22Robert%20Aloma%20Vidal%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%222r2bk1/1q1n1pp1/2b1r3/1p4N1/2p1P3/1p1P2P1/PB3PK1/Q1R4R%20w%20-%20-%200%2027%22%5D%0A%5BWhiteElo%20%222558%22%5D%0A%5BBlackElo%20%222428%22%5D%0A%5BECO%20%22A09%22%5D%0A%5BEventDate%20%222018.09.24%22%5D%0A%5BPlyCount%20%2253%22%5D%0A%0A27.%20Rh8%2B%20Kxh8%2028.%20Rh1%2B%20Kg8%2029.%20Rh8%2B%20Kxh8%2030.%20Qh1%2B%20Rh6%2031.%20Qxh6%2B%20Kg8%2032.%20Qh7%23%201-0
Celebrating Sultan Khan's Birthday;8/p3N1pk/7p/2q5/2p2p2/2Pr1Pn1/P5PP/1Q2RK2 w - - 13 45;OC9wM04xcGsvN3AvMnE0bi8ycDJw;https://www.chess.com/analysis?fen=8/p3N1pk/7p/2q4n/2p2p2/2Pr1P2/P5PP/1Q2RK2%20b%20-%20-%2012%2044&flip=true&pgn=%5BEvent%20%22It%22%5D%0A%5BSite%20%22Liege%20%28Belgium%29%22%5D%0A%5BDate%20%221930.??.??%22%5D%0A%5BRound%20%223%22%5D%0A%5BWhite%20%22Ahues%20Carl%20O%20%28GER%29%22%5D%0A%5BBlack%20%22Sultan%20Khan%20Mir%20%28IND%29%22%5D%0A%5BResult%20%220-1%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/p3N1pk/7p/2q4n/2p2p2/2Pr1P2/P5PP/1Q2RK2%20b%20-%20-%2012%2044%22%5D%0A%5BECO%20%22E43%22%5D%0A%0A44...%20Ng3%2B%2045.%20hxg3%20fxg3%2046.%20Qc2%20Qh5%200-1
Lazard's Playground;8/1p6/1Pp4B/K1P1q3/P1k1p3/2p1N3/2P2P2/8 b - - 1 1;OC8xcDYvMVBwNEIvSzFQMXFOMi9Q;https://www.chess.com/analysis?fen=8/1p6/1Pp4B/K1P1qN2/P1k1p3/2p5/2P2P2/8%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%221921%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Lazard%22%5D%0A%5BBlack%20%22Study%20-%20Win%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/1p6/1Pp4B/K1P1qN2/P1k1p3/2p5/2P2P2/8%20w%20-%20-%200%201%22%5D%0A%0A1.%20Ne3%2B%20Kd4%202.%20Bg7%20Kxc5%203.%20Bf8%2B%20Kd4%2B%204.%20Kb4%20c5%2B%205.%20Ka3%20Qf6%206.%20Bg7%20Qxg7%207.%20Nf5%2B%0AKe5%208.%20Nxg7%201-0
Sorting Out the Background Noise;2r2rk1/1b3pp1/p1N4p/1q6/Pb2P3/4B1P1/5PP1/2RQ1RK1 b - a3 0 1;MnIycmsxLzFiM3BwMS9wMU40cC8x;https://www.chess.com/analysis?fen=2r2rk1/1b3pp1/p1N4p/1q6/1b2P3/4B1P1/P4PP1/2RQ1RK1%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%222r2rk1/1b3pp1/p1N4p/1q6/1b2P3/4B1P1/P4PP1/2RQ1RK1%20w%20-%20-%200%201%22%5D%0A%0A1.%20a4%20Qxc6%202.%20Rxc6%20*
Cherry on Top;3r2k1/pp3pp1/2np3p/3p2qB/3P1PN1/2Pb2QP/P5P1/4R1K1 b - - 0 28;M3IyazEvcHAzcHAxLzJucDNwLzNwM;https://www.chess.com/analysis?fen=3r2k1/pp3pp1/2np3p/3p2qB/3P2N1/2Pb1PQP/P5P1/4R1K1%20w%20-%20-%203%2028&flip=false&pgn=%5BEvent%20%22Corus%20A%22%5D%0A%5BSite%20%22Wijk%20aan%20Zee%20NED%22%5D%0A%5BDate%20%222008.01.17%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Veselin%20Topalov%22%5D%0A%5BBlack%20%22Boris%20Gelfand%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%223r2k1/pp3pp1/2np3p/3p2qB/3P2N1/2Pb1PQP/P5P1/4R1K1%20w%20-%20-%203%2028%22%5D%0A%0A28.%20f4%20Qxh5%2029.%20Nf6%2B%20Kh8%2030.%20Nxh5%201-0
Landing a Knockout;8/1p1b4/7k/P2p4/3P4/2P2N1p/1P6/R3K1r1 w - - 1 2;OC8xcDFiNC83ay9QMnA0LzNQMnIxL;https://www.chess.com/analysis?fen=8/1p1b4/7k/P2p4/3P2r1/2P2N1p/1P6/R3K3%20b%20-%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/1p1b4/7k/P2p4/3P2r1/2P2N1p/1P6/R3K3%20b%20-%20-%200%201%22%5D%0A%0A1...%20Rg1%2B%202.%20Nxg1%20h2%203.%20Kf2%20h1%3DQ%20*
Magnetic Attraction;rn2Qb1r/p1qk1ppp/8/8/3PN1P1/2P1R2b/PP5P/R5K1 b - - 1 1;cm4zYjFyL3AxcWsxcHBwLzgvNFEzLzN;https://www.chess.com/analysis?fen=rn3b1r/p1qk1ppp/8/4Q3/3PN1P1/2P1R2b/PP5P/R5K1%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22rn3b1r/p1qk1ppp/8/4Q3/3PN1P1/2P1R2b/PP5P/R5K1%20w%20-%20-%200%201%22%5D%0A%0A1.%20Qe8%2B%20Kxe8%202.%20Nf6%2B%20Kd8%203.%20Re8%23%201-0
With a Little Help From My Friends;7k/5p1p/5Kp1/1p6/R5N1/8/8/8 b - - 0 1;N2svNXAxcC81S3AxLzFwNi9yNU4xLzg;https://www.chess.com/analysis?fen=7k/5p1p/5Kp1/1p6/r5N1/8/8/R7%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%227k/5p1p/5Kp1/1p6/r5N1/8/8/R7%20w%20-%20-%200%201%22%5D%0A%0A1.%20Rxa4%20bxa4%202.%20Nh6%20a3%203.%20Kxf7%20a2%204.%20Kf8%20a1%3DQ%205.%20Nf7%23%201-0
Velimirovic's Fireworks Display;4rrk1/4QBpp/p2P1n2/1p6/3p4/P7/1PP3Pq/1K1RR3 b - - 0 22;NHJyazEvNFFwcHAvcDJQMW4yLzFw;https://www.chess.com/analysis?fen=4rrk1/4Qppp/p2P1n2/1p6/3p4/PB6/1PP3Pq/1K1RR3%20w%20-%20-%201%2022&flip=false&pgn=%5BEvent%20%22Amsterdam%20IBM%22%5D%0A%5BSite%20%22Amsterdam%20NED%22%5D%0A%5BDate%20%221974.07.18%22%5D%0A%5BRound%20%223%22%5D%0A%5BWhite%20%22Dragoljub%20Velimirovic%22%5D%0A%5BBlack%20%22Istvan%20Csom%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%224rrk1/4Qppp/p2P1n2/1p6/3p4/PB6/1PP3Pq/1K1RR3%20w%20-%20-%201%2022%22%5D%0A%0A22.%20Bxf7%2B%20Rxf7%2023.%20Qxe8%2B%20Nxe8%2024.%20Rxe8%2B%20Rf8%2025.%20d7%20Qd6%2026.%20Rf1%201-0
Hope Springs Eternal;2B5/4P3/3p4/2pk4/7K/2P5/r7/8 b - - 0 1;MkI1LzgvM3BQMy8ycGs0LzdLLzJQNS;https://www.chess.com/analysis?fen=2B5/8/3pP3/2pk4/7K/2P5/r7/8%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%222B5/8/3pP3/2pk4/7K/2P5/r7/8%20w%20-%20-%200%201%22%5D%0A%0A1.%20e7%20Rh2%2B%202.%20Bh3%20Re2%203.%20Bg2%2B%20Rxg2%204.%20e8%3DQ%20*
Hanging by a Thread;2r2Rk1/pb4pq/4p1Q1/1pn1P3/3p2P1/P2P4/1P1K4/5R2 b - - 1 1;MnIzazEvcGIzUnBxLzRwMVExLzFwbjF;https://www.chess.com/analysis?fen=2r3k1/pb3Rpq/4p1Q1/1pn1P3/3p2P1/P2P4/1P1K4/5R2%20w%20-%20-%200%201&flip=false&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%222r3k1/pb3Rpq/4p1Q1/1pn1P3/3p2P1/P2P4/1P1K4/5R2%20w%20-%20-%200%201%22%5D%0A%0A1.%20Rf8%2B%20Rxf8%202.%20Rxf8%2B%20Kxf8%203.%20Qxh7%20*
Smell the Flowers;4k2r/3rpp1p/1p4p1/p1n5/4P3/B1b5/P1P2PPP/1R1R2K1 w k - 0 2;NGsyci8zcnBwYnAvMXA0cDEvcDFuN;https://www.chess.com/analysis?fen=4k2r/3rppbp/1p4p1/p1n5/4P3/B1N5/P1P2PPP/1R1R2K1%20b%20k%20-%200%201&flip=true&pgn=%5BEvent%20%22?%22%5D%0A%5BSite%20%22?%22%5D%0A%5BDate%20%22????.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22?%22%5D%0A%5BBlack%20%22?%22%5D%0A%5BResult%20%22*%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%224k2r/3rppbp/1p4p1/p1n5/4P3/B1N5/P1P2PPP/1R1R2K1%20b%20k%20-%200%201%22%5D%0A%0A1...%20Bxc3%202.%20Bxc5%20Rxd1%2B%203.%20Rxd1%20bxc5%20*
Remembering Viktor Lvovich;r2r1n2/pp2bkQ1/2p1p2p/3q4/3PN2P/2P3R1/P4PP1/5RK1 b - - 5 31;cjJyMW4yL3BwMmJrMi8ycDFwMnAvJ;https://www.chess.com/analysis?fen=r2r1n2/pp2bk2/2p1p2p/3q4/3PN1QP/2P3R1/P4PP1/5RK1%20w%20-%20-%204%2031&flip=false&pgn=%5BEvent%20%22Ch%20URS%22%5D%0A%5BSite%20%22Kiev%20%28Ukraine%29%22%5D%0A%5BDate%20%221964.%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Viktor%20Korchnoi%22%5D%0A%5BBlack%20%22Peterson%20Andrey%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%22r2r1n2/pp2bk2/2p1p2p/3q4/3PN1QP/2P3R1/P4PP1/5RK1%20w%20-%20-%204%2031%22%5D%0A%0A31.%20Qg7%2B%20Ke8%2032.%20Qxe7%2B%20Kxe7%2033.%20Rg7%2B%20Ke8%2034.%20Nf6%23%201-0
Happy Birthday, Yasser!;8/p5Q1/1p4pp/n4q1k/7R/7P/5P1K/8 b - - 3 52;OC9wNVExLzFwNHBwL240cTFrLzZSM;https://www.chess.com/analysis?fen=8/p5Q1/1p4pp/n4q1k/6R1/7P/5P1K/8%20w%20-%20-%202%2052&flip=false&pgn=%5BEvent%20%22It%20%28open%29%22%5D%0A%5BSite%20%22Lugano%20%28Switzerland%29%22%5D%0A%5BDate%20%221988.??.??%22%5D%0A%5BRound%20%22?%22%5D%0A%5BWhite%20%22Seirawan%20Yasser%20%28USA%29%22%5D%0A%5BBlack%20%22Andrijevic%20Milan%20%28SCG%29%22%5D%0A%5BResult%20%221-0%22%5D%0A%5BSetUp%20%221%22%5D%0A%5BFEN%20%228/p5Q1/1p4pp/n4q1k/6R1/7P/5P1K/8%20w%20-%20-%202%2052%22%5D%0A%5BWhiteElo%20%222610%22%5D%0A%5BBlackElo%20%222395%22%5D%0A%0A52.%20Rh4%2B%20Kxh4%2053.%20Qxh6%2B%20Qh5%2054.%20Qf4%2B%20Qg4%2055.%20Qxg4%23%201-0
